Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
0.710023,-0.698685,-0.059848,-0.06422,0.008106,-0.416531,0.743408,0.00206,-0.416893,0.624159,1.0
0.731853,-0.680255,-0.040297,0.00445,-0.001624,-0.40757,0.801551,0.010896,-0.399916,0.673365,1.0
0.707525,-0.705947,-0.020345,-0.025161,-0.013954,-0.471942,0.858115,0.000356,-0.398455,0.67391,0.0
-0.703306,0.710887,7.7e-05,-0.000908,-0.019183,-0.38253,0.828935,0.00337,-0.396384,0.673483,1.0
-0.676941,0.735777,0.007517,0.018075,-0.055438,-0.394742,0.801447,-0.000804,-0.400222,0.673119,1.0
-0.697682,0.713098,-0.052757,0.044134,-0.051214,-0.385287,0.755825,0.005655,-0.404145,0.655218,1.0
-0.706685,0.707528,0.000925,0.000631,-0.045961,-0.380929,0.896144,-0.00038,-0.400017,0.674629,1.0
-0.697776,0.714861,-0.043699,-0.01317,-0.030478,-0.354306,0.774468,0.001856,-0.397905,0.660154,1.0
-0.698132,0.715939,0.002463,0.006141,-0.02152,-0.376437,0.803965,-5.7e-05,-0.40019,0.674231,1.0
-0.699651,0.714482,-9.3e-05,0.00209,0.010314,-0.364881,0.783505,-0.000463,-0.401237,0.665247,1.0
0.707438,-0.706715,-0.009141,0.000957,0.011008,-0.383133,0.819266,0.000776,-0.399316,0.674241,1.0
-0.705249,0.70766,0.006285,0.042439,0.016041,-0.401644,0.768009,-0.00075,-0.390776,0.643719,1.0
-0.706266,0.707934,-0.003222,-0.002751,-0.011137,-0.352311,0.838506,0.002832,-0.395656,0.673426,1.0
0.708171,-0.705797,-0.008545,-0.016476,0.04019,-0.43053,0.81191,-0.004277,-0.433954,0.683218,1.0
-0.706822,0.707371,0.002352,0.004963,0.042048,-0.394278,0.830195,0.000534,-0.401084,0.674854,1.0
0.715094,-0.664934,-0.091037,-0.195486,-0.029876,-0.459541,0.71466,0.004318,-0.401529,0.63411,1.0
-0.706526,0.707686,-0.000804,0.000675,-0.026312,-0.381691,0.830535,0.000166,-0.399816,0.674283,1.0
-0.705799,0.707768,0.024387,0.01781,-0.012016,-0.500156,0.782569,-0.000484,-0.400096,0.670999,0.0
0.72152,-0.691195,-0.029394,-0.028188,0.024907,-0.39564,0.775675,0.01501,-0.400359,0.657892,1.0
-0.706309,0.707901,-0.001869,0.000986,-0.020321,-0.38666,0.834812,0.001164,-0.398196,0.674654,1.0
0.710742,-0.702844,-0.026731,-0.011882,0.024868,-0.398678,0.7761,0.016212,-0.399092,0.656653,1.0
-0.70632,0.707518,0.016063,0.016506,-0.012249,-0.445199,0.834928,-0.003733,-0.410159,0.674077,1.0
-0.703288,0.705712,0.078209,0.035203,0.033546,-0.447124,0.770655,-0.000442,-0.398928,0.664423,1.0
-0.704776,0.709422,0.003293,0.00066,0.014585,-0.379933,0.84052,0.001282,-0.398504,0.674419,1.0
0.707461,-0.70675,0.001261,0.001117,0.030251,-0.357761,0.900737,0.000553,-0.399515,0.674166,1.0
-0.692201,0.721677,-0.000521,0.006265,0.01583,-0.380745,0.791792,0.000827,-0.400943,0.673145,1.0
0.709829,-0.700587,-0.044844,-0.057527,-0.002008,-0.415103,0.789011,0.000841,-0.399711,0.663668,1.0
-0.697187,0.714149,0.010192,-0.061791,0.062908,-0.382268,0.770934,-0.004061,-0.404189,0.663106,1.0
-0.705265,0.708929,0.00457,0.000586,0.022636,-0.380966,0.812507,8.1e-05,-0.399601,0.674371,1.0
0.727652,-0.685536,0.023597,0.002374,-0.001218,-0.367015,0.774977,0.003994,-0.402549,0.65836,1.0
-0.69949,0.714358,0.017857,0.009373,-0.057932,-0.39625,0.793704,-0.000435,-0.404902,0.671054,1.0
0.716414,-0.696099,0.001701,-0.046847,-0.043726,-0.454088,0.778054,0.002578,-0.401567,0.667857,1.0
0.707298,-0.706819,-0.008209,-0.008363,0.004227,-0.455447,0.924527,1e-06,-0.399863,0.674873,0.0
-0.678216,0.734839,0.000821,0.005855,-0.097431,-0.406492,0.79619,0.017378,-0.474471,0.678021,0.0
-0.69591,0.717329,0.007779,-0.032966,0.040067,-0.389235,0.743387,-0.010984,-0.416675,0.659671,1.0
-0.705318,0.708845,0.006835,0.004318,0.017983,-0.398408,0.841516,0.000539,-0.400096,0.674895,1.0
-0.705019,0.708947,0.018275,-0.003065,-0.00171,-0.402256,0.793692,-0.001475,-0.403414,0.667542,1.0
-0.692303,0.72158,0.0033,0.005214,-0.043608,-0.317407,0.808149,-0.000667,-0.397113,0.674874,0.0
0.720649,-0.693052,-0.015515,0.010132,-0.004293,-0.38587,0.799874,-0.001107,-0.394057,0.667039,1.0
0.712204,-0.701888,0.001489,-0.010821,0.01571,-0.421834,0.788679,0.001102,-0.394114,0.667383,1.0
0.761812,-0.64673,-0.010871,0.035557,-0.076555,-0.406257,0.76754,-0.011543,-0.400271,0.660541,0.0
-0.704338,0.709354,0.014065,0.022949,0.01708,-0.408021,0.800337,0.006053,-0.413616,0.670331,1.0
0.737685,-0.674962,0.015304,0.003457,0.017774,-0.366696,0.784115,0.001389,-0.399631,0.668771,1.0
-0.705103,0.708392,0.024389,0.0204,0.010021,-0.401473,0.776985,-0.009384,-0.383564,0.661258,1.0
-0.706547,0.707655,0.003334,0.001955,-0.006208,-0.338792,0.847387,-0.000513,-0.394568,0.673797,1.0
0.708763,-0.705116,-0.01432,-0.01615,-0.026865,-0.450069,0.865162,-0.000326,-0.397997,0.673832,0.0
0.768139,-0.637302,-0.055295,-0.027396,-0.026339,-0.398651,0.771869,0.136801,-0.406431,0.67499,0.0
0.708408,-0.693609,0.084456,0.099659,0.001732,-0.392909,0.752578,0.00336,-0.412424,0.650734,1.0
0.708049,-0.70513,-0.002522,0.038108,0.030415,-0.369024,0.772163,-0.002983,-0.401886,0.660594,1.0
0.839026,-0.527244,0.115029,-0.069407,-0.069006,-0.374663,0.703898,0.132846,-0.512905,0.674989,0.0
-0.706361,0.707706,0.00621,0.013002,-0.014407,-0.396938,0.821242,-0.001307,-0.397993,0.672496,1.0
0.708406,-0.705345,-0.017547,-0.018484,-0.022105,-0.456483,0.805869,-0.000385,-0.400287,0.67205,1.0
-0.689517,0.721345,-0.035681,0.054346,0.004538,-0.399011,0.756646,-0.002542,-0.394132,0.637716,1.0
0.709228,-0.704633,-0.008741,-0.020306,-0.003028,-0.403315,0.782233,0.000164,-0.400034,0.661978,1.0
-0.704938,0.707536,0.049362,-0.004323,0.03361,-0.422312,0.763892,-0.009112,-0.399394,0.657822,1.0
0.729051,-0.639303,-0.065983,-0.235419,-0.027342,-0.451401,0.744589,-0.007505,-0.390769,0.651004,1.0
0.709723,-0.704298,0.001426,0.01598,0.017505,-0.411779,0.774603,0.01163,-0.390392,0.659257,0.0
