Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
0.004292,0.7071,-0.003362,0.707093,0.027959,-0.488111,0.858392,1.111845,3.638095,-12.124109,0
0.003762,0.707222,-0.002498,0.706977,-0.087425,-0.425428,0.857588,-0.031413,-0.454989,0.482151,0
0.0,0.707107,0.0,0.707107,-0.020718,-0.459742,0.946774,0.18213,-0.589197,0.616426,0
0.031353,0.706525,-0.03068,0.706327,-0.056015,-0.465078,0.878649,-0.01733,-0.650824,0.720541,0
0.059748,0.704759,-0.058715,0.704483,-0.047255,-0.458775,0.890309,-0.065934,-0.519201,0.462004,0
0.025262,0.706758,-0.024508,0.706579,0.022722,-0.439526,0.849001,0.087674,-0.567367,0.511545,0
-0.000301,0.706988,0.001169,0.707224,-0.00592,-0.465832,0.93905,-0.044868,-0.438058,0.520453,0
-0.040847,0.705923,0.042397,0.705838,-0.04864,-0.388619,0.872094,-0.008382,-0.388438,0.560162,0
-0.04862,0.705406,0.049402,0.705406,0.025824,-0.418028,0.834252,-0.019647,-0.678176,0.625089,0
0.001064,0.707098,-0.000776,0.707115,-0.02127,-0.436512,0.9521,0.008735,-0.47797,0.586498,0
0.020083,0.706785,-0.019183,0.706883,-0.042819,-0.381812,0.897555,-0.100566,-0.491947,0.60142,0
0.002442,0.70729,-0.002061,0.706916,-0.047201,-0.47209,0.876367,0.014554,-0.477599,0.562704,1
0.035418,0.705937,-0.034412,0.706551,-0.087074,-0.434256,0.908722,0.036392,-0.485584,0.70306,0
0.010462,0.706932,-0.00945,0.707141,0.028442,-0.462558,0.88095,-0.016906,-0.52915,0.512243,0
-0.003046,0.707995,0.002198,0.706207,-0.009269,-0.46381,0.950128,0.037224,-0.445651,0.587024,0
0.078524,0.702441,-0.076402,0.70326,-0.00305,-0.436548,0.90005,-0.087367,-0.424576,0.612245,0
0.005813,0.707071,-0.004748,0.707103,-0.038304,-0.481885,0.871951,-0.055778,-0.495326,0.475601,0
0.021943,0.706606,-0.021279,0.706947,-0.042401,-0.445988,0.880661,-0.041728,-0.449838,0.561228,0
-0.003074,0.707096,0.00387,0.7071,-0.009909,-0.424681,0.833963,5.699749,-6.159169,-19.84988,0
-0.002009,0.707617,0.002856,0.706588,-0.011916,-0.466566,0.949357,0.004463,-0.444013,0.575816,0
-0.015197,0.70693,0.016124,0.706936,-0.036367,-0.526105,0.829196,-3.400356,-2.57477,-21.781108,0
-0.007503,0.707061,0.008491,0.707061,-0.01634,-0.44886,0.828689,0.119483,-0.457447,0.476838,0
0.003397,0.706852,-0.003761,0.707344,-0.003896,-0.422271,1.011811,-0.052641,-0.368394,0.644944,0
-0.013206,0.706801,0.014112,0.707148,-0.014603,-0.406446,0.918906,-0.070739,-0.388264,0.615243,0
0.012509,0.706964,-0.011603,0.707044,0.01329,-0.484522,0.89379,-0.04002,-0.47536,0.522977,0
-8.1e-05,0.70713,4.6e-05,0.707084,-0.081866,-0.451906,1.009807,-0.035555,-0.339709,0.68332,0
0.025089,0.706664,-0.023821,0.706703,-0.021015,-0.427432,0.873618,-0.069256,-0.420738,0.561608,0
0.003271,0.706906,-0.001314,0.707298,-0.051051,-0.459143,0.895299,-0.003252,-0.444421,0.655091,1
-0.006801,0.707053,0.007704,0.707086,-0.005949,-0.46188,0.929386,-0.028606,-0.467552,0.467411,0
7e-06,0.707106,-0.000571,0.707108,-0.00511,-0.45931,0.995528,-0.018131,-0.36013,0.701885,1
-0.026859,0.70663,0.028082,0.706516,-0.013255,-0.433909,0.890734,-0.018533,-0.460294,0.580731,0
-0.009744,0.706835,0.01103,0.707225,-0.054323,-0.465806,0.904333,0.000174,-0.378205,0.747647,1
-0.000719,0.706944,0.000882,0.707269,-0.02567,-0.433516,0.990823,-0.054709,-0.419304,0.621134,0
-0.000248,0.707055,0.000247,0.707159,-0.034259,-0.455765,0.985014,-0.154944,-0.483373,0.659218,0
-0.00167,0.707145,0.002341,0.707062,0.013598,-0.421881,0.984543,-0.023442,-0.398233,0.649657,1
-0.000436,0.706985,0.000571,0.707229,-0.009506,-0.457979,1.003503,0.06696,-0.53428,0.692303,0
-0.161967,0.689398,0.168222,0.68571,0.013167,-0.468709,0.827627,-2.672346,5.015311,-18.055944,0
0.027846,0.706473,-0.02682,0.706683,0.033479,-0.470525,0.900589,-0.044516,-0.486943,0.520814,0
0.002843,0.707437,-0.001393,0.706769,-0.030567,-0.439724,0.909061,0.014272,-0.450513,0.558757,0
-0.014588,0.705686,0.016104,0.708191,0.010898,-0.451268,0.942302,-0.043113,-0.390202,0.480062,0
0.001534,0.707107,-0.00059,0.707105,0.012045,-0.450155,0.884555,0.016043,-0.422422,0.48824,0
0.025473,0.706678,-0.024447,0.706654,-0.048944,-0.421433,0.856027,-2.371713,-3.566379,-4.301384,0
0.032702,0.706341,-0.031883,0.706397,-0.011169,-0.425728,0.910255,-0.025139,-0.457861,0.519971,0
0.009256,0.707562,-0.009244,0.70653,-0.045004,-0.436136,0.865691,-0.00701,-0.497897,0.640341,0
0.000167,0.707114,0.000336,0.7071,-0.069265,-0.433971,0.929696,0.096203,-0.623706,0.614702,0
0.018447,0.707262,-0.017748,0.706488,-0.037359,-0.450861,0.894402,-0.030329,-0.448259,0.645294,1
0.060185,0.704702,-0.059272,0.704457,-0.058912,-0.472038,0.872299,0.04213,-0.441499,0.633744,0
0.023273,0.706805,-0.022139,0.706679,-0.048916,-0.441929,0.852325,-0.016575,-0.453669,0.520624,0
